COD_REGIAO;COD_UF;COD_MUNICIPIO;COD_UFMUN
1;17;15507;1715507
1;17;21000;1721000
1;17;15705;1715705
1;17;13809;1713809
1;17;15754;1715754
1;17;16109;1716109
1;17;16208;1716208
1;17;16307;1716307
1;17;16505;1716505
1;17;16604;1716604
1;17;16653;1716653
1;17;17008;1717008
1;17;17206;1717206
1;17;17503;1717503
1;17;17800;1717800
1;17;17909;1717909
1;17;18006;1718006
1;17;18204;1718204
1;17;18303;1718303
1;17;18402;1718402
1;17;18451;1718451
1;17;18501;1718501
1;17;18550;1718550
1;17;18659;1718659
1;17;18709;1718709
1;17;18758;1718758
1;17;18808;1718808
1;17;18840;1718840
1;17;18865;1718865
1;17;18881;1718881
1;17;18899;1718899
1;17;18907;1718907
1;17;19004;1719004
1;17;20002;1720002
1;17;20101;1720101
1;17;20150;1720150
1;17;20200;1720200
1;17;20259;1720259
1;17;20309;1720309
1;17;20499;1720499
1;17;20655;1720655
1;17;20804;1720804
1;17;20853;1720853
1;17;08254;1708254
1;17;20903;1720903
1;17;20937;1720937
1;17;20978;1720978
1;17;21109;1721109
1;17;21208;1721208
1;17;21257;1721257
1;17;21307;1721307
1;17;22081;1722081
1;17;22107;1722107
2;21;00055;2100055
2;21;00105;2100105
2;21;00154;2100154
2;21;00204;2100204
2;21;00303;2100303
2;21;00402;2100402
2;21;00436;2100436
2;21;00477;2100477
2;21;00501;2100501
2;21;00550;2100550
2;21;00600;2100600
2;21;00709;2100709
2;21;00808;2100808
2;21;00832;2100832
2;21;00873;2100873
2;21;00907;2100907
2;21;00956;2100956
2;21;01004;2101004
2;21;01103;2101103
2;21;01202;2101202
2;21;01251;2101251
2;21;01301;2101301
2;21;01350;2101350
2;21;01400;2101400
2;21;01509;2101509
2;21;01608;2101608
2;21;01707;2101707
2;21;01772;2101772
2;21;01731;2101731
2;21;01806;2101806
2;21;01905;2101905
2;21;01939;2101939
2;21;01970;2101970
2;21;02002;2102002
2;21;02036;2102036
2;21;02077;2102077
2;21;02101;2102101
2;21;02150;2102150
2;21;02200;2102200
2;21;02309;2102309
2;21;02325;2102325
2;21;02358;2102358
2;21;02374;2102374
2;21;02408;2102408
2;21;02507;2102507
2;21;02556;2102556
2;21;02606;2102606
2;21;02705;2102705
2;21;02754;2102754
2;21;02804;2102804
2;21;02903;2102903
2;21;03000;2103000
2;21;03109;2103109
2;21;03125;2103125
2;21;03158;2103158
2;21;03174;2103174
2;21;03208;2103208
2;21;03257;2103257
2;21;03307;2103307
2;21;03406;2103406
2;21;03505;2103505
2;21;03554;2103554
2;21;03604;2103604
2;21;03703;2103703
2;21;03752;2103752
2;21;03802;2103802
2;21;03901;2103901
2;21;04008;2104008
2;21;04057;2104057
2;21;04073;2104073
2;21;04081;2104081
2;21;04099;2104099
2;21;04107;2104107
2;21;04206;2104206
2;21;04305;2104305
2;21;04404;2104404
2;21;04503;2104503
2;21;04552;2104552
2;21;04602;2104602
2;21;04628;2104628
2;21;04651;2104651
2;21;04677;2104677
2;21;04701;2104701
2;21;04800;2104800
2;21;04909;2104909
2;21;05005;2105005
2;21;05104;2105104
2;21;05153;2105153
2;21;05203;2105203
2;21;05302;2105302
2;21;05351;2105351
2;21;05401;2105401
2;21;05427;2105427
2;21;05450;2105450
2;21;05476;2105476
2;21;05500;2105500
2;21;05609;2105609
2;21;05658;2105658
2;21;05708;2105708
2;21;05807;2105807
2;21;05948;2105948
2;21;05906;2105906
2;21;05922;2105922
2;21;05963;2105963
2;21;05989;2105989
2;21;06003;2106003
2;21;06102;2106102
2;21;06201;2106201
2;21;06300;2106300
2;21;06326;2106326
2;21;06359;2106359
2;21;06375;2106375
2;21;06409;2106409
2;21;06508;2106508
2;21;06607;2106607
2;21;06631;2106631
2;21;06672;2106672
2;21;06706;2106706
2;21;06755;2106755
2;21;06805;2106805
